CHV;Código Fazenda;CD_UPNIVEL3;DT_ANALISE;NIVEL INFESTAÇÃO;;Nivel de Infestação;
203410007;20341;7;11/01/2022;B;;;
203410011;20341;11;11/01/2022;A;;;
203410012;20341;12;11/01/2022;A;;;
203430002;20343;2;11/05/2023;B;;;
203460001;20346;1;20/01/2016;B;;;
203620001;20362;1;11/01/2022;A;;;
203700001;20370;1;28/04/2020;B;;;
203710001;20371;1;03/04/2020;B;;;
203710002;20371;2;03/04/2020;A;;;
203710005;20371;5;03/04/2020;B;;;
203710007;20371;7;03/04/2020;B;;;
203710008;20371;8;03/04/2020;B;;;
203710009;20371;9;03/04/2020;B;;;
203710010;20371;10;03/04/2020;B;;;
203710011;20371;11;03/04/2020;B;;;
203710012;20371;12;03/04/2020;B;;;
203710013;20371;13;03/04/2020;M;;;
203710014;20371;14;03/04/2020;M;;;
203720001;20372;1;05/01/2022;B;;;
203720002;20372;2;21/01/2021;B;;;
203720006;20372;6;21/01/2021;B;;;
203720012;20372;12;21/01/2021;B;;;
203720014;20372;14;21/01/2021;B;;;
203720015;20372;15;21/01/2021;B;;;
203730001;20373;1;21/12/2023;B;;;
203730002;20373;2;21/12/2023;B;;;
203730011;20373;11;21/12/2023;B;;;
203750017;20375;17;23/07/2020;B;;;
203750021;20375;21;23/07/2020;B;;;
203750022;20375;22;23/07/2020;B;;;
203920005;20392;5;01/05/2019;B;;;
203920007;20392;7;01/05/2019;B;;;
203920008;20392;8;01/05/2019;B;;;
203950001;20395;1;21/12/2022;B;;;
203950002;20395;2;21/12/2022;B;;;
203950003;20395;3;21/12/2022;B;;;
203950004;20395;4;21/12/2022;B;;;
203950005;20395;5;21/12/2022;B;;;
203950006;20395;6;21/12/2022;B;;;
203950007;20395;7;21/12/2022;B;;;
203990001;20399;1;28/04/2020;M;;;
203990002;20399;2;28/04/2020;M;;;
203990008;20399;8;28/04/2020;B;;;
203990009;20399;9;28/04/2020;B;;;
203990011;20399;11;28/04/2020;B;;;
203990013;20399;13;28/04/2020;B;;;
204000001;20400;1;11/01/2022;A;;;
204000002;20400;2;11/01/2022;A;;;
204010001;20401;1;24/03/2016;B;;;
204070001;20407;1;11/05/2023;A;;;
204090001;20409;1;21/12/2022;B;;;
204090002;20409;2;21/12/2022;B;;;
204090003;20409;3;21/12/2022;B;;;
204090004;20409;4;21/12/2022;B;;;
204090005;20409;5;21/12/2022;B;;;
204090006;20409;6;10/03/2020;M;;;
204090007;20409;7;21/12/2022;B;;;
204200001;20420;1;09/03/2020;A;;;
204200002;20420;2;09/03/2020;A;;;
204200003;20420;3;09/03/2020;A;;;
204200004;20420;4;09/03/2020;A;;;
204200005;20420;5;09/03/2020;A;;;
204200006;20420;6;09/03/2020;A;;;
204200007;20420;7;09/03/2020;A;;;
204200008;20420;8;09/03/2020;M;;;
204200009;20420;9;09/03/2020;M;;;
204200010;20420;10;09/03/2020;M;;;
204200011;20420;11;09/03/2020;M;;;
204200012;20420;12;09/03/2020;M;;;
204200013;20420;13;09/03/2020;A;;;
204200014;20420;14;09/03/2020;A;;;
204200015;20420;15;09/03/2020;A;;;
204200016;20420;16;09/03/2020;A;;;
204200017;20420;17;09/03/2020;M;;;
204200018;20420;18;09/03/2020;M;;;
204200019;20420;19;09/03/2020;A;;;
204200020;20420;20;10/03/2020;A;;;
204200021;20420;21;09/03/2020;A;;;
204200022;20420;22;09/03/2020;A;;;
204200023;20420;23;09/03/2020;A;;;
204200024;20420;24;09/03/2020;A;;;
204200025;20420;25;09/03/2020;A;;;
204200027;20420;27;10/03/2020;A;;;
204200028;20420;28;10/03/2020;A;;;
204200029;20420;29;10/03/2020;A;;;
204200030;20420;30;09/03/2020;B;;;
204200031;20420;31;09/03/2020;B;;;
204200032;20420;32;09/03/2020;B;;;
204200033;20420;33;09/03/2020;A;;;
204260001;20426;1;18/02/2020;B;;;
204260002;20426;2;18/02/2020;B;;;
204260003;20426;3;18/02/2020;M;;;
204260004;20426;4;18/02/2020;M;;;
204260005;20426;5;18/02/2020;B;;;
